,r2_mean,r2_std,mse_mean,mse_std
LinearRegression,-15.136717075443704,15.956117649151212,0.00399280821527326,0.0036399653316968026
RandomForestRegressor,-0.468804819959991,0.37443310371810323,0.0007135337694405823,0.0006554115165009983
